RELATÓRIO GERADO DE FORMA AUTOMÁTICA COM INTENÇÃO EM VERIFICAR MÉDIA DE NOTAS
ID_UF;Nome_Estado;ID_Municipio;Nome_Municipio;Ano;Nota_Candidato
11;"Rondônia";1100049;"Cacoal (RO)";2022;565,52
11;"Rondônia";1100049;"Cacoal (RO)";2022;630,75
11;"Rondônia";1100049;"Cacoal (RO)";2022;539,14
11;"Rondônia";1100049;"Cacoal (RO)";2022;643,47
11;"Rondônia";1100049;"Cacoal (RO)";2022;662,22
11;"Rondônia";1100049;"Cacoal (RO)";2022;485,22
11;"Rondônia";1100049;"Cacoal (RO)";2022;697,02
11;"Rondônia";1100049;"Cacoal (RO)";2022;505,58
11;"Rondônia";1100049;"Cacoal (RO)";2022;699,01
11;"Rondônia";1100049;"Cacoal (RO)";2022;637,34
11;"Rondônia";1100049;"Cacoal (RO)";2022;625,12
11;"Rondônia";1100049;"Cacoal (RO)";2022;637,34
11;"Rondônia";1100049;"Cacoal (RO)";2022;496,80
11;"Rondônia";1100049;"Cacoal (RO)";2022;522,15
11;"Rondônia";1100049;"Cacoal (RO)";2022;604,72
11;"Rondônia";1100049;"Cacoal (RO)";2022;666,86
11;"Rondônia";1100049;"Cacoal (RO)";2022;644,02
11;"Rondônia";1100049;"Cacoal (RO)";2022;588,28
11;"Rondônia";1100049;"Cacoal (RO)";2022;626,20
11;"Rondônia";1100049;"Cacoal (RO)";2022;566,22
11;"Rondônia";1100049;"Cacoal (RO)";2022;635,86
11;"Rondônia";1100049;"Cacoal (RO)";2022;654,67
11;"Rondônia";1100049;"Cacoal (RO)";2022;723,27
11;"Rondônia";1100049;"Cacoal (RO)";2022;494,68
11;"Rondônia";1100049;"Cacoal (RO)";2022;463,62
11;"Rondônia";1100049;"Cacoal (RO)";2022;668,84
11;"Rondônia";1100049;"Cacoal (RO)";2022;656,86
11;"Rondônia";1100049;"Cacoal (RO)";2022;556,92
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;525,42
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;552,31
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;555,00
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;647,68
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;623,31
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;525,42
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;552,31
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;555,00
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;647,68
11;"Rondônia";1100056;"Cerejeiras (RO)";2022;623,31
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;639,15
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;601,76
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;570,14
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;528,24
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;639,15
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;601,76
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;570,14
11;"Rondônia";1100064;"Colorado do Oeste (RO)";2022;528,24
11;"Rondônia";1100098;"Espigão D'Oeste (RO)";2022;577,52
